"baran";"2021-03-31";"Barany czeka spokojny dzień. Czas odsapnąć i przestać się wszystkim aż tak przejmować. Aura sprzyja układaniu rodzinnych planów, chętnie wybierzecie się też na zakupy ubrań lub kosmetyków. Sprzyjające wam znaki to Byk i Wodnik."
"bliznieta";"2021-03-30";"Bliźnięta zapragną rozrywki i nowych przygód. Na szczęście okazji do spotkań z przyjaciółmi nie powinno dziś zabraknąć. Dzień sprzyja też zakupom i niecodziennym pomysłom na hobby. Przychylny wam znak zodiaku to Baran, ale uważajcie na nerwową Pannę."
"byk";"2021-03-30";"Byki będą upierać się przy swoich pomysłach. Nikt nie zmusi was do zrobienia tego, na co nie macie ochoty. Taki nastrój nie sprzyja załatwianiu służbowych spraw. Odpocznijcie i nie bierzcie na siebie obowiązków, których nie trzeba koniecznie dziś załatwiać. Przychylny wam znak zodiaku to Panna."
"koziorozec";"2021-03-30";"Koziorożce będą niespokojne i podejrzliwe. Nie przesadzajcie z ambitnymi zawodowymi planami. Wieczorem pomyślcie przez chwilę tylko o sobie i poświęćcie trochę czasu sprawom zdrowia i urody. Przychylny wam znak zodiaku to Bliźnięta, uważajcie na marudne Ryby."
"lew";"2021-03-30";"Lwy będą energiczne i odważne. Chętnie zmienicie coś na lepsze w swoim życiu lub wpadniecie na pomysł poważnego postanowienia. Nie przejmujcie się marudzeniem bliskich osób, bo aura sprzyja zaczynaniu nowych spraw. Przychylny wam znak zodiaku to pomysłowy Baran."
"panna";"2021-03-30";"Panny przejmą się zawodowymi planami i zaczną uzupełniać kalendarz. Wasze nowe pomysły mogą okazać się bardzo dochodowe. Dzień sprzyja mądrym decyzjom, nawet jeśli oprócz was nikt dziś nie pracuje. Przychylne wam znaki zodiaku to Bliźnięta i Koziorożec."
"rak";"2021-03-30";"Raki szybko uporają się z obowiązkami, a potem zajmą się prywatnymi sprawami i posłuchają rodzinnych opowieści. Na wasze decyzje wpłyną wspomnienia i nieoczekiwane wnioski, które dotyczyć będą przeszłości. Przychylne wam znaki zodiaku to Skorpion i Ryby."
"ryby";"2021-03-30";"Ryby czeka spokojny i senny dzień. Nie pomylcie się w rachunkach i uważajcie, bo grożą wam nieporozumienia. Możecie być roztargnieni, a nawet śnić na jawie. Po południu zainteresujecie się sprawami niewyjaśnionymi i zagadkowymi. Przychylny wam znak zodiaku to Rak."
"skorpion";"2021-03-30";"Skorpiony zajmą się tajemniczymi sprawami. Być może wpadniecie na trop finansowej afery lub wyjaśnicie dziwne powody zachowania innych. Po południu nie słuchajcie rozmów o nieszczęściach i chorobach, bo niesprawdzone wiadomości mogą popsuć wam humor. Jeśli trzeba, doradzi wam Koziorożec."
"strzelec";"2021-03-01";"Strzelce zbuntują się dzisiaj przeciwko komuś, kto ciągle zmienia plany. Nowoczesne wynalazki i rewolucyjne pomysły nie będą dziś was zachwycać. Liczy się święty spokój. Możecie być sentymentalni i trochę rozmarzeni. Randka w takim humorze z pewnością się uda. Sprzyjający wam znak zodiaku to Rak."
"waga";"2021-03-25";"Wagi czeka sympatyczny dzień. Będziecie mile widziani w każdym towarzystwie. To dobra okazja, aby zyskać nowych przyjaciół i przekonać innych do swych zalet. Najciekawsze pomysły na wiosenne rozrywki czy nawet wyjazdy pojawią się właśnie dzisiaj. Przychylny wam znak zodiaku to Bliźnięta."
"wodnik";"2021-03-30";"Wodniki chętnie zabiorą się za ciekawe i ambitne sprawy, a perspektywa nudy bardzo je przerazi. Dzień sprzyja zdobywaniu ciekawych umiejętności. Nie wszystkie z nich okażą się przydatne, ale z pewnością rozweselą bliskich. Przychylne wam znaki zodiaku to Baran i Waga."
